0.05
2
Time,N001,I1,R1,
0,40,2,2,
1e-06,40,2.03142,2,
2e-06,39.3717,2.06283,1.96858,
3e-06,38.7434,2.09424,1.93717,
4e-06,38.1152,2.12565,1.90576,
5e-06,37.487,2.15705,1.87435,
6e-06,36.8589,2.18845,1.84295,
7e-06,36.231,2.21984,1.81155,
8e-06,35.6032,2.25122,1.78016,
9e-06,34.9756,2.28259,1.74878,
1e-05,34.3481,2.31395,1.71741,
1.1e-05,33.7209,2.3453,1.68605,
1.2e-05,33.094,2.37663,1.6547,
1.3e-05,32.4673,2.40795,1.62337,
1.4e-05,31.8409,2.43926,1.59205,
1.5e-05,31.2149,2.47054,1.56074,
1.6e-05,30.5892,2.50181,1.52946,
1.7e-05,29.9638,2.53306,1.49819,
1.8e-05,29.3389,2.56428,1.46694,
1.9e-05,28.7144,2.59549,1.43572,
2e-05,28.0903,2.62667,1.40451,
2.1e-05,27.4667,2.65782,1.37333,
2.2e-05,26.8436,2.68895,1.34218,
2.3e-05,26.221,2.72005,1.31105,
2.4e-05,25.5989,2.75113,1.27995,
2.5e-05,24.9774,2.78217,1.24887,
2.6e-05,24.3566,2.81319,1.21783,
2.7e-05,23.7363,2.84417,1.18681,
2.8e-05,23.1167,2.87512,1.15583,
2.9e-05,22.4977,2.90603,1.12488,
3e-05,21.8794,2.93691,1.09397,
3.1e-05,21.2619,2.96775,1.06309,
3.2e-05,20.6451,2.99855,1.03225,
3.3e-05,20.029,3.02931,1.00145,
3.4e-05,19.4137,3.06004,0.970687,
3.5e-05,18.7993,3.09072,0.939964,
3.6e-05,18.1857,3.12135,0.909284,
3.7e-05,17.5729,3.15195,0.878646,
3.8e-05,16.9611,3.18249,0.848053,
3.9e-05,16.3501,3.213,0.817505,
4e-05,15.7401,3.24345,0.787004,
4.1e-05,15.131,3.27385,0.756551,
4.2e-05,14.5229,3.30421,0.726146,
4.3e-05,13.9158,3.33451,0.695792,
4.4e-05,13.3098,3.36476,0.66549,
4.5e-05,12.7048,3.39496,0.63524,
4.6e-05,12.1009,3.4251,0.605044,
4.7e-05,11.4981,3.45518,0.574904,
4.8e-05,10.8964,3.48521,0.544819,
4.9e-05,10.2958,3.51518,0.514792,
5e-05,9.69647,3.54508,0.484824,
5.1e-05,9.0983,3.57493,0.454915,
5.2e-05,8.50135,3.60472,0.425067,
5.3e-05,7.90564,3.63444,0.395282,
5.4e-05,7.3112,3.6641,0.36556,
5.5e-05,6.71805,3.69369,0.335902,
5.6e-05,6.12621,3.72321,0.30631,
5.7e-05,5.53571,3.75267,0.276785,
5.8e-05,4.94657,3.78206,0.247328,
5.9e-05,4.35881,3.81138,0.217941,
6e-05,3.77246,3.84062,0.188623,
6.1e-05,3.18754,3.8698,0.159377,
6.2e-05,2.60408,3.8989,0.130204,
6.3e-05,2.02209,3.92792,0.101105,
6.4e-05,1.4416,3.95687,0.07208,
6.5e-05,0.862633,3.98574,0.0431317,
6.6e-05,0.285211,4.01453,0.0142605,
6.7e-05,-0.290644,4.04325,-0.0145322,
6.8e-05,-0.864907,4.07188,-0.0432454,
6.9e-05,-1.43756,4.10043,-0.0718779,
7e-05,-2.00857,4.1289,-0.100429,
7.1e-05,-2.57793,4.15728,-0.128896,
7.2e-05,-3.1456,4.18558,-0.15728,
7.3e-05,-3.71158,4.21379,-0.185579,
7.4e-05,-4.27582,4.24192,-0.213791,
7.5e-05,-4.83832,4.26995,-0.241916,
