1
here if
here else
Time,N001,I1,R1,
0,-240,-0.004,-0.004,
0.0001,-240,-0.004,-0.004,
0.0002,-240,-0.004,-0.004,
0.0003,-240,-0.004,-0.004,
0.0004,-240,-0.004,-0.004,
0.0005,-240,-0.004,-0.004,
0.0006,-240,-0.004,-0.004,
0.0007,-240,-0.004,-0.004,
0.0008,-240,-0.004,-0.004,
0.0009,-240,-0.004,-0.004,
0.001,-240,-0.004,-0.004,
0.0011,-240,-0.004,-0.004,
0.0012,-240,-0.004,-0.004,
0.0013,-240,-0.004,-0.004,
0.0014,-240,-0.004,-0.004,
0.0015,-240,-0.004,-0.004,
0.0016,-240,-0.004,-0.004,
0.0017,-240,-0.004,-0.004,
0.0018,-240,-0.004,-0.004,
0.0019,-240,-0.004,-0.004,
0.002,-240,-0.004,-0.004,
0.0021,-240,-0.004,-0.004,
0.0022,-240,-0.004,-0.004,
0.0023,-240,-0.004,-0.004,
0.0024,-240,-0.004,-0.004,
0.0025,-240,-0.004,-0.004,
0.0026,-240,-0.004,-0.004,
0.0027,-240,-0.004,-0.004,
0.0028,-240,-0.004,-0.004,
0.0029,-240,-0.004,-0.004,
0.003,-240,-0.004,-0.004,
0.0031,-240,-0.004,-0.004,
0.0032,-240,-0.004,-0.004,
0.0033,-240,-0.004,-0.004,
0.0034,-240,-0.004,-0.004,
0.0035,-240,-0.004,-0.004,
0.0036,-240,-0.004,-0.004,
0.0037,-240,-0.004,-0.004,
0.0038,-240,-0.004,-0.004,
0.0039,-240,-0.004,-0.004,
0.004,-240,-0.004,-0.004,
0.0041,-240,-0.004,-0.004,
0.0042,-240,-0.004,-0.004,
0.0043,-240,-0.004,-0.004,
0.0044,-240,-0.004,-0.004,
0.0045,-240,-0.004,-0.004,
0.0046,-240,-0.004,-0.004,
0.0047,-240,-0.004,-0.004,
0.0048,-240,-0.004,-0.004,
0.0049,-240,-0.004,-0.004,
0.005,-240,-0.004,-0.004,
